AD_num,reported,candidate,party,votes
AD   23,97.71%,Kamala D. Harris Tim Walz,(Democratic),18059
AD   23,97.71%,Donald J. Trump JD Vance,(Republican),23710
AD   23,97.71%,Donald J. Trump JD Vance,(Conservative),1732
AD   23,97.71%,Kamala D. Harris Tim Walz,(Working Families),883
AD   23,97.71%,WRITE-IN,,605
AD   24,96.80%,Kamala D. Harris Tim Walz,(Democratic),20960
AD   24,96.80%,Donald J. Trump JD Vance,(Republican),14077
AD   24,96.80%,Donald J. Trump JD Vance,(Conservative),843
AD   24,96.80%,Kamala D. Harris Tim Walz,(Working Families),866
AD   24,96.80%,WRITE-IN,,1078
AD   25,98.20%,Kamala D. Harris Tim Walz,(Democratic),14795
AD   25,98.20%,Donald J. Trump JD Vance,(Republican),14497
AD   25,98.20%,Donald J. Trump JD Vance,(Conservative),861
AD   25,98.20%,Kamala D. Harris Tim Walz,(Working Families),790
AD   25,98.20%,WRITE-IN,,595
AD   26,97.20%,Kamala D. Harris Tim Walz,(Democratic),23017
AD   26,97.20%,Donald J. Trump JD Vance,(Republican),20663
AD   26,97.20%,Donald J. Trump JD Vance,(Conservative),1641
AD   26,97.20%,Kamala D. Harris Tim Walz,(Working Families),1053
AD   26,97.20%,WRITE-IN,,680
AD   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),15645
AD   27,99.00%,Donald J. Trump JD Vance,(Republican),18526
AD   27,99.00%,Donald J. Trump JD Vance,(Conservative),1135
AD   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),876
AD   27,99.00%,WRITE-IN,,459
AD   28,98.40%,Kamala D. Harris Tim Walz,(Democratic),23637
AD   28,98.40%,Donald J. Trump JD Vance,(Republican),19645
AD   28,98.40%,Donald J. Trump JD Vance,(Conservative),1315
AD   28,98.40%,Kamala D. Harris Tim Walz,(Working Families),2189
AD   28,98.40%,WRITE-IN,,782
AD   29,99.00%,Kamala D. Harris Tim Walz,(Democratic),34172
AD   29,99.00%,Donald J. Trump JD Vance,(Republican),5820
AD   29,99.00%,Donald J. Trump JD Vance,(Conservative),445
AD   29,99.00%,Kamala D. Harris Tim Walz,(Working Families),670
AD   29,99.00%,WRITE-IN,,683
AD   30,97.09%,Kamala D. Harris Tim Walz,(Democratic),15091
AD   30,97.09%,Donald J. Trump JD Vance,(Republican),12577
AD   30,97.09%,Donald J. Trump JD Vance,(Conservative),691
AD   30,97.09%,Kamala D. Harris Tim Walz,(Working Families),1189
AD   30,97.09%,WRITE-IN,,775
AD   31,98.40%,Kamala D. Harris Tim Walz,(Democratic),24333
AD   31,98.40%,Donald J. Trump JD Vance,(Republican),6263
AD   31,98.40%,Donald J. Trump JD Vance,(Conservative),427
AD   31,98.40%,Kamala D. Harris Tim Walz,(Working Families),723
AD   31,98.40%,WRITE-IN,,329
AD   32,98.96%,Kamala D. Harris Tim Walz,(Democratic),29093
AD   32,98.96%,Donald J. Trump JD Vance,(Republican),5569
AD   32,98.96%,Donald J. Trump JD Vance,(Conservative),376
AD   32,98.96%,Kamala D. Harris Tim Walz,(Working Families),677
AD   32,98.96%,WRITE-IN,,479
AD   33,93.62%,Kamala D. Harris Tim Walz,(Democratic),33916
AD   33,93.62%,Donald J. Trump JD Vance,(Republican),9133
AD   33,93.62%,Donald J. Trump JD Vance,(Conservative),663
AD   33,93.62%,Kamala D. Harris Tim Walz,(Working Families),800
AD   33,93.62%,WRITE-IN,,899
AD   34,93.88%,Kamala D. Harris Tim Walz,(Democratic),18695
AD   34,93.88%,Donald J. Trump JD Vance,(Republican),12851
AD   34,93.88%,Donald J. Trump JD Vance,(Conservative),738
AD   34,93.88%,Kamala D. Harris Tim Walz,(Working Families),2385
AD   34,93.88%,WRITE-IN,,883
AD   35,99.00%,Kamala D. Harris Tim Walz,(Democratic),14366
AD   35,99.00%,Donald J. Trump JD Vance,(Republican),10772
AD   35,99.00%,Donald J. Trump JD Vance,(Conservative),611
AD   35,99.00%,Kamala D. Harris Tim Walz,(Working Families),634
AD   35,99.00%,WRITE-IN,,349
AD   36,99.00%,Kamala D. Harris Tim Walz,(Democratic),28002
AD   36,99.00%,Donald J. Trump JD Vance,(Republican),10091
AD   36,99.00%,Donald J. Trump JD Vance,(Conservative),727
AD   36,99.00%,Kamala D. Harris Tim Walz,(Working Families),4620
AD   36,99.00%,WRITE-IN,,1256
AD   37,98.35%,Kamala D. Harris Tim Walz,(Democratic),23797
AD   37,98.35%,Donald J. Trump JD Vance,(Republican),12773
AD   37,98.35%,Donald J. Trump JD Vance,(Conservative),910
AD   37,98.35%,Kamala D. Harris Tim Walz,(Working Families),3647
AD   37,98.35%,WRITE-IN,,1218
AD   38,97.73%,Kamala D. Harris Tim Walz,(Democratic),15919
AD   38,97.73%,Donald J. Trump JD Vance,(Republican),12491
AD   38,97.73%,Donald J. Trump JD Vance,(Conservative),925
AD   38,97.73%,Kamala D. Harris Tim Walz,(Working Families),1533
AD   38,97.73%,WRITE-IN,,760
AD   39,94.95%,Kamala D. Harris Tim Walz,(Democratic),14078
AD   39,94.95%,Donald J. Trump JD Vance,(Republican),11415
AD   39,94.95%,Donald J. Trump JD Vance,(Conservative),626
AD   39,94.95%,Kamala D. Harris Tim Walz,(Working Families),1404
AD   39,94.95%,WRITE-IN,,528
AD   40,96.83%,Kamala D. Harris Tim Walz,(Democratic),11097
AD   40,96.83%,Donald J. Trump JD Vance,(Republican),11829
AD   40,96.83%,Donald J. Trump JD Vance,(Conservative),656
AD   40,96.83%,Kamala D. Harris Tim Walz,(Working Families),515
AD   40,96.83%,WRITE-IN,,364
AD   41,96.83%,Kamala D. Harris Tim Walz,(Democratic),18500
AD   41,96.83%,Donald J. Trump JD Vance,(Republican),20033
AD   41,96.83%,Donald J. Trump JD Vance,(Conservative),1321
AD   41,96.83%,Kamala D. Harris Tim Walz,(Working Families),755
AD   41,96.83%,WRITE-IN,,611
AD   42,97.00%,Kamala D. Harris Tim Walz,(Democratic),29702
AD   42,97.00%,Donald J. Trump JD Vance,(Republican),6157
AD   42,97.00%,Donald J. Trump JD Vance,(Conservative),543
AD   42,97.00%,Kamala D. Harris Tim Walz,(Working Families),2920
AD   42,97.00%,WRITE-IN,,767
AD   43,99.00%,Kamala D. Harris Tim Walz,(Democratic),35055
AD   43,99.00%,Donald J. Trump JD Vance,(Republican),6770
AD   43,99.00%,Donald J. Trump JD Vance,(Conservative),644
AD   43,99.00%,Kamala D. Harris Tim Walz,(Working Families),4386
AD   43,99.00%,WRITE-IN,,1139
AD   44,96.67%,Kamala D. Harris Tim Walz,(Democratic),34573
AD   44,96.67%,Donald J. Trump JD Vance,(Republican),8392
AD   44,96.67%,Donald J. Trump JD Vance,(Conservative),748
AD   44,96.67%,Kamala D. Harris Tim Walz,(Working Families),7886
AD   44,96.67%,WRITE-IN,,1876
AD   45,98.92%,Kamala D. Harris Tim Walz,(Democratic),7332
AD   45,98.92%,Donald J. Trump JD Vance,(Republican),22632
AD   45,98.92%,Donald J. Trump JD Vance,(Conservative),1461
AD   45,98.92%,Kamala D. Harris Tim Walz,(Working Families),444
AD   45,98.92%,WRITE-IN,,427
AD   46,95.08%,Kamala D. Harris Tim Walz,(Democratic),16570
AD   46,95.08%,Donald J. Trump JD Vance,(Republican),20717
AD   46,95.08%,Donald J. Trump JD Vance,(Conservative),1368
AD   46,95.08%,Kamala D. Harris Tim Walz,(Working Families),1149
AD   46,95.08%,WRITE-IN,,866
AD   47,99.00%,Kamala D. Harris Tim Walz,(Democratic),9797
AD   47,99.00%,Donald J. Trump JD Vance,(Republican),16328
AD   47,99.00%,Donald J. Trump JD Vance,(Conservative),934
AD   47,99.00%,Kamala D. Harris Tim Walz,(Working Families),630
AD   47,99.00%,WRITE-IN,,529
AD   48,98.78%,Kamala D. Harris Tim Walz,(Democratic),4062
AD   48,98.78%,Donald J. Trump JD Vance,(Republican),24701
AD   48,98.78%,Donald J. Trump JD Vance,(Conservative),1987
AD   48,98.78%,Kamala D. Harris Tim Walz,(Working Families),285
AD   48,98.78%,WRITE-IN,,444
AD   49,98.75%,Kamala D. Harris Tim Walz,(Democratic),7805
AD   49,98.75%,Donald J. Trump JD Vance,(Republican),12108
AD   49,98.75%,Donald J. Trump JD Vance,(Conservative),742
AD   49,98.75%,Kamala D. Harris Tim Walz,(Working Families),552
AD   49,98.75%,WRITE-IN,,436
AD   50,99.00%,Kamala D. Harris Tim Walz,(Democratic),27920
AD   50,99.00%,Donald J. Trump JD Vance,(Republican),10389
AD   50,99.00%,Donald J. Trump JD Vance,(Conservative),752
AD   50,99.00%,Kamala D. Harris Tim Walz,(Working Families),4465
AD   50,99.00%,WRITE-IN,,993
AD   51,95.79%,Kamala D. Harris Tim Walz,(Democratic),17016
AD   51,95.79%,Donald J. Trump JD Vance,(Republican),6666
AD   51,95.79%,Donald J. Trump JD Vance,(Conservative),542
AD   51,95.79%,Kamala D. Harris Tim Walz,(Working Families),3066
AD   51,95.79%,WRITE-IN,,832
AD   52,99.00%,Kamala D. Harris Tim Walz,(Democratic),49819
AD   52,99.00%,Donald J. Trump JD Vance,(Republican),4617
AD   52,99.00%,Donald J. Trump JD Vance,(Conservative),481
AD   52,99.00%,Kamala D. Harris Tim Walz,(Working Families),7596
AD   52,99.00%,WRITE-IN,,1450
AD   53,99.00%,Kamala D. Harris Tim Walz,(Democratic),25996
AD   53,99.00%,Donald J. Trump JD Vance,(Republican),6527
AD   53,99.00%,Donald J. Trump JD Vance,(Conservative),556
AD   53,99.00%,Kamala D. Harris Tim Walz,(Working Families),3993
AD   53,99.00%,WRITE-IN,,1189
AD   54,97.83%,Kamala D. Harris Tim Walz,(Democratic),18793
AD   54,97.83%,Donald J. Trump JD Vance,(Republican),5658
AD   54,97.83%,Donald J. Trump JD Vance,(Conservative),478
AD   54,97.83%,Kamala D. Harris Tim Walz,(Working Families),1606
AD   54,97.83%,WRITE-IN,,751
AD   55,98.96%,Kamala D. Harris Tim Walz,(Democratic),26021
AD   55,98.96%,Donald J. Trump JD Vance,(Republican),2462
AD   55,98.96%,Donald J. Trump JD Vance,(Conservative),323
AD   55,98.96%,Kamala D. Harris Tim Walz,(Working Families),1194
AD   55,98.96%,WRITE-IN,,386
AD   56,98.15%,Kamala D. Harris Tim Walz,(Democratic),32696
AD   56,98.15%,Donald J. Trump JD Vance,(Republican),3144
AD   56,98.15%,Donald J. Trump JD Vance,(Conservative),372
AD   56,98.15%,Kamala D. Harris Tim Walz,(Working Families),4475
AD   56,98.15%,WRITE-IN,,1328
AD   57,98.46%,Kamala D. Harris Tim Walz,(Democratic),38974
AD   57,98.46%,Donald J. Trump JD Vance,(Republican),3711
AD   57,98.46%,Donald J. Trump JD Vance,(Conservative),367
AD   57,98.46%,Kamala D. Harris Tim Walz,(Working Families),7286
AD   57,98.46%,WRITE-IN,,1450
AD   58,98.47%,Kamala D. Harris Tim Walz,(Democratic),34729
AD   58,98.47%,Donald J. Trump JD Vance,(Republican),2373
AD   58,98.47%,Donald J. Trump JD Vance,(Conservative),369
AD   58,98.47%,Kamala D. Harris Tim Walz,(Working Families),671
AD   58,98.47%,WRITE-IN,,276
AD   59,98.17%,Kamala D. Harris Tim Walz,(Democratic),28481
AD   59,98.17%,Donald J. Trump JD Vance,(Republican),12899
AD   59,98.17%,Donald J. Trump JD Vance,(Conservative),1071
AD   59,98.17%,Kamala D. Harris Tim Walz,(Working Families),765
AD   59,98.17%,WRITE-IN,,332
AD   60,96.30%,Kamala D. Harris Tim Walz,(Democratic),28034
AD   60,96.30%,Donald J. Trump JD Vance,(Republican),3475
AD   60,96.30%,Donald J. Trump JD Vance,(Conservative),419
AD   60,96.30%,Kamala D. Harris Tim Walz,(Working Families),668
AD   60,96.30%,WRITE-IN,,225
AD   61,96.27%,Kamala D. Harris Tim Walz,(Democratic),25276
AD   61,96.27%,Donald J. Trump JD Vance,(Republican),13859
AD   61,96.27%,Donald J. Trump JD Vance,(Conservative),1205
AD   61,96.27%,Kamala D. Harris Tim Walz,(Working Families),1254
AD   61,96.27%,WRITE-IN,,770
AD   62,99.00%,Kamala D. Harris Tim Walz,(Democratic),12779
AD   62,99.00%,Donald J. Trump JD Vance,(Republican),48347
AD   62,99.00%,Donald J. Trump JD Vance,(Conservative),2944
AD   62,99.00%,Kamala D. Harris Tim Walz,(Working Families),623
AD   62,99.00%,WRITE-IN,,616
AD   63,99.00%,Kamala D. Harris Tim Walz,(Democratic),19314
AD   63,99.00%,Donald J. Trump JD Vance,(Republican),27411
AD   63,99.00%,Donald J. Trump JD Vance,(Conservative),1951
AD   63,99.00%,Kamala D. Harris Tim Walz,(Working Families),916
AD   63,99.00%,WRITE-IN,,940
AD   64,97.83%,Kamala D. Harris Tim Walz,(Democratic),15766
AD   64,97.83%,Donald J. Trump JD Vance,(Republican),32286
AD   64,97.83%,Donald J. Trump JD Vance,(Conservative),2256
AD   64,97.83%,Kamala D. Harris Tim Walz,(Working Families),1142
AD   64,97.83%,WRITE-IN,,1205
AD   65,97.17%,Kamala D. Harris Tim Walz,(Democratic),27951
AD   65,97.17%,Donald J. Trump JD Vance,(Republican),9130
AD   65,97.17%,Donald J. Trump JD Vance,(Conservative),599
AD   65,97.17%,Kamala D. Harris Tim Walz,(Working Families),2255
AD   65,97.17%,WRITE-IN,,818
AD   66,99.00%,Kamala D. Harris Tim Walz,(Democratic),42751
AD   66,99.00%,Donald J. Trump JD Vance,(Republican),7027
AD   66,99.00%,Donald J. Trump JD Vance,(Conservative),480
AD   66,99.00%,Kamala D. Harris Tim Walz,(Working Families),2821
AD   66,99.00%,WRITE-IN,,1175
AD   67,98.10%,Kamala D. Harris Tim Walz,(Democratic),46641
AD   67,98.10%,Donald J. Trump JD Vance,(Republican),7861
AD   67,98.10%,Donald J. Trump JD Vance,(Conservative),478
AD   67,98.10%,Kamala D. Harris Tim Walz,(Working Families),2589
AD   67,98.10%,WRITE-IN,,1165
AD   68,96.04%,Kamala D. Harris Tim Walz,(Democratic),28150
AD   68,96.04%,Donald J. Trump JD Vance,(Republican),5920
AD   68,96.04%,Donald J. Trump JD Vance,(Conservative),534
AD   68,96.04%,Kamala D. Harris Tim Walz,(Working Families),1698
AD   68,96.04%,WRITE-IN,,714
AD   69,94.51%,Kamala D. Harris Tim Walz,(Democratic),44675
AD   69,94.51%,Donald J. Trump JD Vance,(Republican),5512
AD   69,94.51%,Donald J. Trump JD Vance,(Conservative),442
AD   69,94.51%,Kamala D. Harris Tim Walz,(Working Families),3986
AD   69,94.51%,WRITE-IN,,1010
AD   70,98.08%,Kamala D. Harris Tim Walz,(Democratic),38072
AD   70,98.08%,Donald J. Trump JD Vance,(Republican),4458
AD   70,98.08%,Donald J. Trump JD Vance,(Conservative),421
AD   70,98.08%,Kamala D. Harris Tim Walz,(Working Families),3132
AD   70,98.08%,WRITE-IN,,824
AD   71,98.23%,Kamala D. Harris Tim Walz,(Democratic),32558
AD   71,98.23%,Donald J. Trump JD Vance,(Republican),6142
AD   71,98.23%,Donald J. Trump JD Vance,(Conservative),499
AD   71,98.23%,Kamala D. Harris Tim Walz,(Working Families),3470
AD   71,98.23%,WRITE-IN,,796
AD   72,94.57%,Kamala D. Harris Tim Walz,(Democratic),23928
AD   72,94.57%,Donald J. Trump JD Vance,(Republican),9576
AD   72,94.57%,Donald J. Trump JD Vance,(Conservative),613
AD   72,94.57%,Kamala D. Harris Tim Walz,(Working Families),2137
AD   72,94.57%,WRITE-IN,,489
AD   73,97.20%,Kamala D. Harris Tim Walz,(Democratic),41341
AD   73,97.20%,Donald J. Trump JD Vance,(Republican),12388
AD   73,97.20%,Donald J. Trump JD Vance,(Conservative),687
AD   73,97.20%,Kamala D. Harris Tim Walz,(Working Families),1284
AD   73,97.20%,WRITE-IN,,1197
AD   74,99.00%,Kamala D. Harris Tim Walz,(Democratic),37719
AD   74,99.00%,Donald J. Trump JD Vance,(Republican),8062
AD   74,99.00%,Donald J. Trump JD Vance,(Conservative),620
AD   74,99.00%,Kamala D. Harris Tim Walz,(Working Families),2879
AD   74,99.00%,WRITE-IN,,975
AD   75,97.17%,Kamala D. Harris Tim Walz,(Democratic),38300
AD   75,97.17%,Donald J. Trump JD Vance,(Republican),7699
AD   75,97.17%,Donald J. Trump JD Vance,(Conservative),544
AD   75,97.17%,Kamala D. Harris Tim Walz,(Working Families),2282
AD   75,97.17%,WRITE-IN,,929
AD   76,94.83%,Kamala D. Harris Tim Walz,(Democratic),43368
AD   76,94.83%,Donald J. Trump JD Vance,(Republican),10896
AD   76,94.83%,Donald J. Trump JD Vance,(Conservative),644
AD   76,94.83%,Kamala D. Harris Tim Walz,(Working Families),1905
AD   76,94.83%,WRITE-IN,,1133
AD   77,95.60%,Kamala D. Harris Tim Walz,(Democratic),18319
AD   77,95.60%,Donald J. Trump JD Vance,(Republican),6519
AD   77,95.60%,Donald J. Trump JD Vance,(Conservative),399
AD   77,95.60%,Kamala D. Harris Tim Walz,(Working Families),583
AD   77,95.60%,WRITE-IN,,196
AD   78,97.62%,Kamala D. Harris Tim Walz,(Democratic),16066
AD   78,97.62%,Donald J. Trump JD Vance,(Republican),7166
AD   78,97.62%,Donald J. Trump JD Vance,(Conservative),474
AD   78,97.62%,Kamala D. Harris Tim Walz,(Working Families),686
AD   78,97.62%,WRITE-IN,,258
AD   79,98.89%,Kamala D. Harris Tim Walz,(Democratic),19996
AD   79,98.89%,Donald J. Trump JD Vance,(Republican),5692
AD   79,98.89%,Donald J. Trump JD Vance,(Conservative),474
AD   79,98.89%,Kamala D. Harris Tim Walz,(Working Families),695
AD   79,98.89%,WRITE-IN,,188
AD   80,98.86%,Kamala D. Harris Tim Walz,(Democratic),20014
AD   80,98.86%,Donald J. Trump JD Vance,(Republican),10001
AD   80,98.86%,Donald J. Trump JD Vance,(Conservative),718
AD   80,98.86%,Kamala D. Harris Tim Walz,(Working Families),937
AD   80,98.86%,WRITE-IN,,594
AD   81,97.37%,Kamala D. Harris Tim Walz,(Democratic),26198
AD   81,97.37%,Donald J. Trump JD Vance,(Republican),9886
AD   81,97.37%,Donald J. Trump JD Vance,(Conservative),835
AD   81,97.37%,Kamala D. Harris Tim Walz,(Working Families),1829
AD   81,97.37%,WRITE-IN,,705
AD   82,98.84%,Kamala D. Harris Tim Walz,(Democratic),27152
AD   82,98.84%,Donald J. Trump JD Vance,(Republican),14067
AD   82,98.84%,Donald J. Trump JD Vance,(Conservative),1230
AD   82,98.84%,Kamala D. Harris Tim Walz,(Working Families),1247
AD   82,98.84%,WRITE-IN,,449
AD   83,97.56%,Kamala D. Harris Tim Walz,(Democratic),29392
AD   83,97.56%,Donald J. Trump JD Vance,(Republican),3888
AD   83,97.56%,Donald J. Trump JD Vance,(Conservative),407
AD   83,97.56%,Kamala D. Harris Tim Walz,(Working Families),764
AD   83,97.56%,WRITE-IN,,229
AD   84,98.94%,Kamala D. Harris Tim Walz,(Democratic),19561
AD   84,98.94%,Donald J. Trump JD Vance,(Republican),6733
AD   84,98.94%,Donald J. Trump JD Vance,(Conservative),521
AD   84,98.94%,Kamala D. Harris Tim Walz,(Working Families),951
AD   84,98.94%,WRITE-IN,,265
AD   85,96.55%,Kamala D. Harris Tim Walz,(Democratic),20306
AD   85,96.55%,Donald J. Trump JD Vance,(Republican),6279
AD   85,96.55%,Donald J. Trump JD Vance,(Conservative),480
AD   85,96.55%,Kamala D. Harris Tim Walz,(Working Families),790
AD   85,96.55%,WRITE-IN,,235
AD   86,97.67%,Kamala D. Harris Tim Walz,(Democratic),15920
AD   86,97.67%,Donald J. Trump JD Vance,(Republican),7486
AD   86,97.67%,Donald J. Trump JD Vance,(Conservative),413
AD   86,97.67%,Kamala D. Harris Tim Walz,(Working Families),495
AD   86,97.67%,WRITE-IN,,206
AD   87,98.61%,Kamala D. Harris Tim Walz,(Democratic),21563
AD   87,98.61%,Donald J. Trump JD Vance,(Republican),7311
AD   87,98.61%,Donald J. Trump JD Vance,(Conservative),563
AD   87,98.61%,Kamala D. Harris Tim Walz,(Working Families),921
AD   87,98.61%,WRITE-IN,,631
Total,,Kamala D. Harris Tim Walz,(Democratic),1623623
Total,,Donald J. Trump JD Vance,(Republican),734063
Total,,Donald J. Trump JD Vance,(Conservative),52231
Total,,Kamala D. Harris Tim Walz,(Working Families),124517
Total,,WRITE-IN,,47741
